medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
karvil,insulina,"Deve-se monitorar a glicemia em pacientes recebendo insulina ou antidiabéticos orais juntamente com Karvil Agentes depletores de catecolaminas Sinais de hipotensão e/ou bradicardia grave em pacientes em uso de Karvil e fármacos que possam depletar catecolaminas (por exemplo, reserpina e inibidores de monoamino oxidase) O uso combinado de Karvil e digoxina pode prolongar o tempo de condução atrioventricular Bloqueadores do canal de cálcio não diidropiridina, amiodarona ou outros antiarrítmicos Em combinação com carvedilol, podem aumentar o risco de distúrbios de condução atrioventricular.",1,fonte2,automatica,0.75
karvil,amiodarona,"Deve-se monitorar a glicemia em pacientes recebendo insulina ou antidiabéticos orais juntamente com Karvil Agentes depletores de catecolaminas Sinais de hipotensão e/ou bradicardia grave em pacientes em uso de Karvil e fármacos que possam depletar catecolaminas (por exemplo, reserpina e inibidores de monoamino oxidase) O uso combinado de Karvil e digoxina pode prolongar o tempo de condução atrioventricular Bloqueadores do canal de cálcio não diidropiridina, amiodarona ou outros antiarrítmicos Em combinação com carvedilol, podem aumentar o risco de distúrbios de condução atrioventricular.",1,fonte2,automatica,0.75
karvil,diltiazem,"Se o carvedilol for administrado por via oral com bloqueadores do canal de cálcio não diidropiridina do tipo verapamil ou diltiazem, amiodarona ou outros antiarrítmicos recomenda-se o monitoramento do ECG (eletrocardiograma) e da pressão sanguínea A administração de clonidina associada à Karvil pode potencializar os efeitos de redução de pressão sanguínea e frequência cardíaca Carvedilol pode potencializar o efeito de outros fármacos com ação antihipertensiva (por exemplo, antagonistas de receptor alfa-1) ou que tenham hipotensão como parte de seu perfil de efeitos adversos Agentes anestésicos Monitorar cuidadosamente os sinais vitais durante anestesia O uso concomitante de anti-inflamatórios não esteroides (AINEs) e bloqueadores betaadrenérgicos pode resultar em aumento de pressão arterial e menor controle da pressão arterial Broncodilatadores beta-agonistas age de forma contrária aos medicamentos desta classe Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.",1,fonte2,automatica,0.75
karvil,verapamil,"Se o carvedilol for administrado por via oral com bloqueadores do canal de cálcio não diidropiridina do tipo verapamil ou diltiazem, amiodarona ou outros antiarrítmicos recomenda-se o monitoramento do ECG (eletrocardiograma) e da pressão sanguínea A administração de clonidina associada à Karvil pode potencializar os efeitos de redução de pressão sanguínea e frequência cardíaca Carvedilol pode potencializar o efeito de outros fármacos com ação antihipertensiva (por exemplo, antagonistas de receptor alfa-1) ou que tenham hipotensão como parte de seu perfil de efeitos adversos Agentes anestésicos Monitorar cuidadosamente os sinais vitais durante anestesia O uso concomitante de anti-inflamatórios não esteroides (AINEs) e bloqueadores betaadrenérgicos pode resultar em aumento de pressão arterial e menor controle da pressão arterial Broncodilatadores beta-agonistas age de forma contrária aos medicamentos desta classe Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.",1,fonte2,automatica,0.75
karvil,amiodarona,"Se o carvedilol for administrado por via oral com bloqueadores do canal de cálcio não diidropiridina do tipo verapamil ou diltiazem, amiodarona ou outros antiarrítmicos recomenda-se o monitoramento do ECG (eletrocardiograma) e da pressão sanguínea A administração de clonidina associada à Karvil pode potencializar os efeitos de redução de pressão sanguínea e frequência cardíaca Carvedilol pode potencializar o efeito de outros fármacos com ação antihipertensiva (por exemplo, antagonistas de receptor alfa-1) ou que tenham hipotensão como parte de seu perfil de efeitos adversos Agentes anestésicos Monitorar cuidadosamente os sinais vitais durante anestesia O uso concomitante de anti-inflamatórios não esteroides (AINEs) e bloqueadores betaadrenérgicos pode resultar em aumento de pressão arterial e menor controle da pressão arterial Broncodilatadores beta-agonistas age de forma contrária aos medicamentos desta classe Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.",1,fonte2,automatica,0.75
karvil,aines,"Se o carvedilol for administrado por via oral com bloqueadores do canal de cálcio não diidropiridina do tipo verapamil ou diltiazem, amiodarona ou outros antiarrítmicos recomenda-se o monitoramento do ECG (eletrocardiograma) e da pressão sanguínea A administração de clonidina associada à Karvil pode potencializar os efeitos de redução de pressão sanguínea e frequência cardíaca Carvedilol pode potencializar o efeito de outros fármacos com ação antihipertensiva (por exemplo, antagonistas de receptor alfa-1) ou que tenham hipotensão como parte de seu perfil de efeitos adversos Agentes anestésicos Monitorar cuidadosamente os sinais vitais durante anestesia O uso concomitante de anti-inflamatórios não esteroides (AINEs) e bloqueadores betaadrenérgicos pode resultar em aumento de pressão arterial e menor controle da pressão arterial Broncodilatadores beta-agonistas age de forma contrária aos medicamentos desta classe Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.",1,fonte2,automatica,0.75
kefalomax,probenecida,A probenecida aumenta as concentrações de cefalotina e pode aumentar os riscos de reações tóxicas.,1,fonte2,automatica,0.65
kefazol,probenecida,"A probenecida aumenta as concentrações de cefazolina no sangue, e pode aumentar os riscos de reações tóxicas.",1,fonte2,automatica,0.65
keflaxina,probenecida,A probenecida pode aumentar e prolongar a concentração da Keflaxina no sangue. de alça (ex.: ) podem aumentar o risco de toxicidade para os rins com as cefalosporinas.,1,fonte2,automatica,0.65
keflin neutro,probenecida,A probenecida aumenta as concentrações de cefalotina e pode aumentar os riscos de reações tóxicas.,1,fonte2,automatica,0.65
keforal,probenecida,A probenecida pode aumentar e prolongar a concentração do Keforal no sangue. de alça (ex.: ) podem aumentar o risco de toxicidade para os rins com as cefalosporinas.,1,fonte2,automatica,0.65
kefox,probenecida,A probenecida pode aumentar e prolongar as concentrações de cefoxitina no sangue.,1,fonte2,automatica,0.65
kiadon,anticoagulantes,"A associação deste medicamento com anticoagulantes, antiplaquetários, anti-inflamatórios não esteroidais (AINES) e/ou agentes trombolíticos pode aumentar o risco de hemorragias (Micromedex 2.0, 2014).",1,fonte2,automatica,0.65
kiadon,aines,"A associação deste medicamento com anticoagulantes, antiplaquetários, anti-inflamatórios não esteroidais (AINES) e/ou agentes trombolíticos pode aumentar o risco de hemorragias (Micromedex 2.0, 2014).",1,fonte2,automatica,0.65
kiadon,insulina,"Este medicamento pode diminuir a efetividade dos anticonvulsivantes e pode alterar os efeitos da insulina, aumentando a sua depuração (Micromedex 2.0, 2014).",1,fonte2,automatica,0.65
kiadon,risperidona,"O uso concomitante de G. biloba pode aumentar os riscos de eventos adversos causados pela risperidona, como, por exemplo, priapismo (LIN et al ., 2007).",1,fonte2,automatica,0.65
klaricid,claritromicina,"O uso dos seguintes medicamentos é estritamente contraindicado, devido à gravidade dos efeitos causados pelas possíveis interações medicamentosas: Cisaprida, pimozida, astemizole e terfenadina: foram relatados aumentos dos níveis de cisaprida em pacientes tratados concomitantemente com claritromicina e cisaprida.",2,fonte2,automatica,0.9
klaricid,claritromicina,"Inibidores da HMG-CoA redutase (estatinas): O uso concomitante de claritromicina com lovastatina ou sinvastatina é contraindicado (ver Contraindicações), devido ao possível aumento do risco de miopatia (doença muscular), incluindo rabdomiólise (destruição do músculo esquelético).",2,fonte2,automatica,0.9
klaricid,sinvastatina,"Inibidores da HMG-CoA redutase (estatinas): O uso concomitante de claritromicina com lovastatina ou sinvastatina é contraindicado (ver Contraindicações), devido ao possível aumento do risco de miopatia (doença muscular), incluindo rabdomiólise (destruição do músculo esquelético).",2,fonte2,automatica,0.9
klaricid,claritromicina,Foram recebidos relatos de rabdomiólise em pacientes que administraram claritromicina junto com estas estatinas.,2,fonte2,automatica,0.8
klaricid,claritromicina,Deve-se ter precaução quando houver prescrição de claritromicina com estatinas.,1,fonte2,automatica,0.65
klaricid,claritromicina,"Por isso, deve-se monitorar esses medicamentos na corrente sanguínea devido à um possível aumento dessas substâncias devido à inibição de CYP3A4 pela claritromicina.",1,fonte2,automatica,0.75
klaricid,claritromicina,"Anticoagulantes orais de ação direta (DOACs): Recomenda-se precaução quando a claritromicina é administrada concomitantemente com a dabigatrana, rivaroxabana e apixabana, especialmente em pacientes com maior risco de sangramentos.",1,fonte2,automatica,0.65
klaricid,anticoagulantes,"Anticoagulantes orais de ação direta (DOACs): Recomenda-se precaução quando a claritromicina é administrada concomitantemente com a dabigatrana, rivaroxabana e apixabana, especialmente em pacientes com maior risco de sangramentos.",1,fonte2,automatica,0.65
klaricid,claritromicina,"Se midazolam via intravenosa for administrado concomitantemente com claritromicina, o paciente deve ser cuidadosamente monitorado para permitir um ajuste de dose adequado.",1,fonte2,automatica,0.65
klaricid,claritromicina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode elevar a um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid,digoxina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode elevar a um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid,colchicina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode elevar a um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid,claritromicina,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid,diltiazem,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid,verapamil,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid,claritromicina,"Hipotensão (pressão arterial baixa), bradiarritmia (redução da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) tem sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid,itraconazol,"Hipotensão (pressão arterial baixa), bradiarritmia (redução da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) tem sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid,verapamil,"Hipotensão (pressão arterial baixa), bradiarritmia (redução da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) tem sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid,claritromicina,"Quando saquinavir é coadministrado com ritonavir, recomenda-se atenção para os potenciais efeitos do ritonavir na terapia com claritromicina.",1,fonte2,automatica,0.65
klaricid ud,claritromicina,"O uso dos seguintes medicamentos é estritamente contraindicado, devido à gravidade dos efeitos causados pelas possíveis interações medicamentosas: Cisaprida, pimozida, astemizole e terfenadina: foram relatados aumentos dos níveis de cisaprida em pacientes tratados concomitantemente com claritromicina.",2,fonte2,automatica,0.9
klaricid ud,claritromicina,"Inibidores da HMG-CoA redutase (estatinas): O uso concomitante de claritromicina com lovastatina ou sinvastatina é contraindicado (ver Contraindicações), devido ao possível aumento do risco de miopatia (doença muscular), incluindo rabdomiólise (destruição do músculo esquelético).",2,fonte2,automatica,0.9
klaricid ud,sinvastatina,"Inibidores da HMG-CoA redutase (estatinas): O uso concomitante de claritromicina com lovastatina ou sinvastatina é contraindicado (ver Contraindicações), devido ao possível aumento do risco de miopatia (doença muscular), incluindo rabdomiólise (destruição do músculo esquelético).",2,fonte2,automatica,0.9
klaricid ud,claritromicina,Foram recebidos relatos de rabdomiólise em pacientes que administraram claritromicina junto com estas estatinas.,2,fonte2,automatica,0.8
klaricid ud,claritromicina,Deve-se ter precaução quando houver prescrição de claritromicina com estatinas.,1,fonte2,automatica,0.65
klaricid ud,claritromicina,"Por isso, deve-se monitorar esses medicamentos na corrente sanguínea devido à um possível aumento dessas substâncias devido à inibição de CYP3A4 pela claritromicina.",1,fonte2,automatica,0.75
klaricid ud,claritromicina,"Anticoagulantes orais de ação direta (DOACs): Recomenda-se precaução quando a claritromicina é administrada concomitantemente com a dabigatrana, rivaroxabana e apixabana, especialmente em pacientes com maior risco de sangramentos.",1,fonte2,automatica,0.65
klaricid ud,anticoagulantes,"Anticoagulantes orais de ação direta (DOACs): Recomenda-se precaução quando a claritromicina é administrada concomitantemente com a dabigatrana, rivaroxabana e apixabana, especialmente em pacientes com maior risco de sangramentos.",1,fonte2,automatica,0.65
klaricid ud,claritromicina,"Se midazolam via intravenosa for administrado concomitantemente com claritromicina, o paciente deve ser cuidadosamente monitorado para permitir um ajuste de dose adequado.",1,fonte2,automatica,0.65
klaricid ud,claritromicina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode ocorrer um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid ud,digoxina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode ocorrer um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid ud,colchicina,"O uso concomitante de claritromicina e colchicina é contraindicado. : quando claritromicina e digoxina são administradas concomitantemente, pode ocorrer um aumento da exposição à digoxina.",2,fonte2,automatica,0.9
klaricid ud,claritromicina,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid ud,diltiazem,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid ud,verapamil,"Bloqueadores de canais de cálcio: deve-se ter precaução ao administrar concomitantemente claritromicina e bloqueadores de canais de cálcio metabolizados por CYP3A4 (ex. verapamil, amlodipino, diltiazem) devido ao risco de hipotensão (pressão arterial baixa).",1,fonte2,automatica,0.65
klaricid ud,claritromicina,"Hipotensão (pressão arterial baixa), bradiarritmia (diminuição da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) têm sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid ud,itraconazol,"Hipotensão (pressão arterial baixa), bradiarritmia (diminuição da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) têm sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid ud,verapamil,"Hipotensão (pressão arterial baixa), bradiarritmia (diminuição da frequência e/ou ritmo do coração) e acidose lática (acúmulo de ácido lático no corpo) têm sido observadas em pacientes tomando claritromicina e verapamil juntos. : a claritromicina pode levar ao aumento nos níveis sanguíneos de itraconazol, enquanto o itraconazol pode aumentar os níveis sanguíneos da claritromicina.",1,fonte2,automatica,0.65
klaricid ud,claritromicina,"Quando saquinavir é coadministrado com ritonavir, recomenda-se atenção para os potenciais efeitos do ritonavir na terapia com claritromicina.",1,fonte2,automatica,0.65
klaritril,colchicina,"Se a administração concomitante de Klaritril e colchicina for necessária, seu médico deverá monitorar quanto à ocorrência de sintomas clínicos de toxicidade por colchicina.",1,fonte2,automatica,0.75
kolevas,ciclosporina,"A administração concomitante de Kolevas com medicamentos inibidores do CYP 3A4 ou indutores do CYP 3A4 (sistemas de quebra de vários medicamentos) (por ex., ciclosporina, eritromicina/claritromicina, inibidores da protease, letermovir, cloridrato de diltiazem , itraconazol, suco de grapefruit, ) pode alterar a quantidade de atorvastatina no sangue.",1,fonte2,automatica,0.65
kolevas,eritromicina,"A administração concomitante de Kolevas com medicamentos inibidores do CYP 3A4 ou indutores do CYP 3A4 (sistemas de quebra de vários medicamentos) (por ex., ciclosporina, eritromicina/claritromicina, inibidores da protease, letermovir, cloridrato de diltiazem , itraconazol, suco de grapefruit, ) pode alterar a quantidade de atorvastatina no sangue.",1,fonte2,automatica,0.65
kolevas,claritromicina,"A administração concomitante de Kolevas com medicamentos inibidores do CYP 3A4 ou indutores do CYP 3A4 (sistemas de quebra de vários medicamentos) (por ex., ciclosporina, eritromicina/claritromicina, inibidores da protease, letermovir, cloridrato de diltiazem , itraconazol, suco de grapefruit, ) pode alterar a quantidade de atorvastatina no sangue.",1,fonte2,automatica,0.65
kolevas,atorvastatina,"A administração concomitante de Kolevas com medicamentos inibidores do CYP 3A4 ou indutores do CYP 3A4 (sistemas de quebra de vários medicamentos) (por ex., ciclosporina, eritromicina/claritromicina, inibidores da protease, letermovir, cloridrato de diltiazem , itraconazol, suco de grapefruit, ) pode alterar a quantidade de atorvastatina no sangue.",1,fonte2,automatica,0.65
kolevas,itraconazol,"A administração concomitante de Kolevas com medicamentos inibidores do CYP 3A4 ou indutores do CYP 3A4 (sistemas de quebra de vários medicamentos) (por ex., ciclosporina, eritromicina/claritromicina, inibidores da protease, letermovir, cloridrato de diltiazem , itraconazol, suco de grapefruit, ) pode alterar a quantidade de atorvastatina no sangue.",1,fonte2,automatica,0.65
ladogal,varfarina,"Informe seu médico caso esteja fazendo uso de outros medicamentos, principalmente , fenitoína, ), antidiabéticos (insulina), orais (varfarina), anti-hipertensivos, ), esteroides, e estatinas, uma vez que danazol pode potencializar ou reduzir o efeito dos mesmos.",1,fonte2,automatica,0.65
ladogal,insulina,"Informe seu médico caso esteja fazendo uso de outros medicamentos, principalmente , fenitoína, ), antidiabéticos (insulina), orais (varfarina), anti-hipertensivos, ), esteroides, e estatinas, uma vez que danazol pode potencializar ou reduzir o efeito dos mesmos.",1,fonte2,automatica,0.65
lanexat,diazepam,"Não há interação farmacocinética entre Lanexat e etanol, midazolam ou diazepam.",0,fonte2,automatica,0.85
lasilactona,furosemida,A furosemida pode potencializar os efeitos nocivos dos aminoglicosídeos e de outras substâncias ototóxicas (prejudicial ao aparelho auditivo) sobre a audição.,1,fonte2,automatica,0.65
lasilactona,aines,"Associações a considerar A administração concomitante com AINEs, incluindo o ácido acetilsalicílico, pode reduzir o efeito da Lasilactona.",1,fonte2,automatica,0.65
lasilactona,aines,"Em pacientes com desidratação ou hipovolemia pré-existente, os AINEs podem causar insuficiência renal aguda.",2,fonte2,automatica,0.8
lasilactona,furosemida,A furosemida pode aumentar a toxicidade do salicilato.,1,fonte2,automatica,0.65
lasilactona,furosemida,"Devido a furosemida, os efeitos de antidiabéticos e de fármacos simpatomiméticos que elevam a pressão sanguínea (ex.: e norepinefrina) podem ser atenuados, enquanto que os efeitos de relaxantes musculares tipo curare ou da podem ser potencializados.",1,fonte2,automatica,0.65
lasilactona,furosemida,"A furosemida pode potencializar os efeitos nocivos de fármacos tóxicos para os rins. e outros fármacos que, assim como a furosemida, são secretados significativamente por via túbulo-renal, podem reduzir o efeito da furosemida.",1,fonte2,automatica,0.65
lasix,furosemida,"Antibióticos aminoglicosídicos e outros medicamentos que podem ser tóxicos ao ouvido: a furosemida pode potencializar a ototoxicidade (toxicidade ao ouvido) causada por antibióticos aminoglicosídicos e outros fármacos ototóxicos, visto que os efeitos resultantes sobre a audição podem ser irreversíveis.",1,fonte2,automatica,0.65
lasix,furosemida,"Deve-se considerar interrupção da administração da furosemida temporariamente ou, ao menos, reduzir a dose de furosemida por 3 dias antes de iniciar o tratamento com, ou antes, de aumentar a dose de um inibidor da ECA ou antagonista do receptor de angiotensina II. : cautela deve ser adotada e os riscos e benefícios desta combinação ou tratamento concomitante com furosemida ou com outros diuréticos potentes devem ser considerados antes da decisão de uso.",1,fonte2,automatica,0.65
lasix,furosemida,Fármacos tóxicos aos rins: a furosemida pode potencializar os efeitos nocivos de fármacos tóxicos aos rins.,1,fonte2,automatica,0.65
lasix,furosemida,"Corticosteroides, carbenoxolona, alcaçuz e : o uso concomitante de furosemida com corticosteroides, carbenoxolona, alcaçuz em grandes quantidades e uso prolongado de laxantes, pode aumentar o risco de desenvolvimento de hipopotassemia.",1,fonte2,automatica,0.65
lasix,corticosteroides,"Corticosteroides, carbenoxolona, alcaçuz e : o uso concomitante de furosemida com corticosteroides, carbenoxolona, alcaçuz em grandes quantidades e uso prolongado de laxantes, pode aumentar o risco de desenvolvimento de hipopotassemia.",1,fonte2,automatica,0.65
lasix,furosemida,"Em pacientes tratados com alisquireno e furosemida oral, é recomendado monitorar a redução do efeito diurético e ajustar a dose de acordo.",1,fonte2,automatica,0.75
lasix,furosemida,"Exclusivo Comprimido Medicamento - Alimento Pode ocorrer alteração da absorção de furosemida quando administrada com , portanto, recomenda-se que os comprimidos sejam tomados com o estômago vazio.",1,fonte2,automatica,0.65
levaquin,probenecida,Entretanto estas alterações não requerem ajuste de dose de Levaquin quando coadministrado com probenecida ou cimetidina.,1,fonte2,automatica,0.65
levaquin,cimetidina,Entretanto estas alterações não requerem ajuste de dose de Levaquin quando coadministrado com probenecida ou cimetidina.,1,fonte2,automatica,0.65
levitra,cetoconazol,Levitra não deve ser administrado com doses de cetoconazol ou itraconazol maiores que 200 mg.,2,fonte2,automatica,0.8
levitra,itraconazol,Levitra não deve ser administrado com doses de cetoconazol ou itraconazol maiores que 200 mg.,2,fonte2,automatica,0.8
levitra,eritromicina,"O uso de Levitra comprimido orodispersível é contraindicado para pacientes sob tratamento com cobicistate, eritromicina, cetoconazol, itraconazol, claritromicina, indinavir ou ritonavir.",2,fonte2,automatica,0.9
levitra,claritromicina,"O uso de Levitra comprimido orodispersível é contraindicado para pacientes sob tratamento com cobicistate, eritromicina, cetoconazol, itraconazol, claritromicina, indinavir ou ritonavir.",2,fonte2,automatica,0.9
levitra,cetoconazol,"O uso de Levitra comprimido orodispersível é contraindicado para pacientes sob tratamento com cobicistate, eritromicina, cetoconazol, itraconazol, claritromicina, indinavir ou ritonavir.",2,fonte2,automatica,0.9
levitra,itraconazol,"O uso de Levitra comprimido orodispersível é contraindicado para pacientes sob tratamento com cobicistate, eritromicina, cetoconazol, itraconazol, claritromicina, indinavir ou ritonavir.",2,fonte2,automatica,0.9
levitra,digoxina,"Não houve interação entre 0,375 mg de digoxina (medicamento para insuficiência cardíaca), coadministrada com Levitra 20 mg comprimido revestido, em dias alternados, durante 14 dias. pode aumentar a quantidade de alguns medicamentos no sangue (substratos sensíveis da glicoproteína P - P-gp).",1,fonte2,automatica,0.65
lipanon,varfarina,"Interações medicamento-medicamento orais: o fenofibrato pode potencializar a ação dos anticoagulantes orais (acenocumarol, dicumarol, varfarina, , fenindiona) aumentando, portanto, o risco de sangramentos.",1,fonte2,automatica,0.65
lipanon,acenocumarol,"Interações medicamento-medicamento orais: o fenofibrato pode potencializar a ação dos anticoagulantes orais (acenocumarol, dicumarol, varfarina, , fenindiona) aumentando, portanto, o risco de sangramentos.",1,fonte2,automatica,0.65
lipanon,anticoagulantes,"Interações medicamento-medicamento orais: o fenofibrato pode potencializar a ação dos anticoagulantes orais (acenocumarol, dicumarol, varfarina, , fenindiona) aumentando, portanto, o risco de sangramentos.",1,fonte2,automatica,0.65
lopid,varfarina,Deve-se ter cautela ao administrar varfarina juntamente com Genfibrozila.,1,fonte2,automatica,0.65
lopid,atorvastatina,"Foram relatados casos de miosite grave e mioglobinúria (rabdomiólise) quando Genfibrozila e outros inibidores da HMG-CoA redutase, (como lovastatina, atorvastatina e rosuvastatina), foram empregados concomitantemente.",2,fonte2,automatica,0.8
lopid,colchicina,O risco de toxicidade neuromuscular e rabdomiólise pode ser aumentado com a administração concomitante de colchicina e Genfibrozila.,2,fonte2,automatica,0.8
lopril d,captopril,"Inibidores da Síntese de Prostaglandina Endógena Há relatos de que a pode reduzir os efeitos anti-hipertensivos do captopril, especialmente nos casos de hipertensão com renina baixa.",1,fonte2,automatica,0.65
lopril d,captopril,"Em pacientes idosos com depleção de volume (incluindo aqueles em tratamento com diuréticos), ou com comprometimento da função renal, a administração concomitante de antiinflamatórios não esteroidais, incluindo inibidores seletivos de COX-2, com inibidores da ECA, incluindo o captopril, pode resultar na deterioração da função renal, incluindo possível insuficiência renal aguda .",2,fonte2,automatica,0.8
lopril d,hidroclorotiazida,A hidroclorotiazida deve ser co-administrada com cautela e recomenda-se a monitorização freqüente do lítio sérico.,1,fonte2,automatica,0.65
lopril d,hidroclorotiazida,"Medicações Antigotosas - pode ser necessário o ajuste de dose da medicação antigotosa, já que a hidroclorotiazida pode aumentar o nível de ácido úrico no sangue.",1,fonte2,automatica,0.65
lopril d,hidroclorotiazida,"Outras Medicações Anti-Hipertensivas (p.ex.: Agentes Bloqueadores Ganglionares ou Adrenérgicos Periféricos) - pode ser necessário o ajuste da dose, pois a hidroclorotiazida pode potencializar seus efeitos.",1,fonte2,automatica,0.65
lopril d,insulina,"Medicamentos Antidiabéticos (Agentes Orais e Insulina) - como as tiazidas podem aumentar os níveis de sangüínea, pode ser necessário o ajuste de dose dos medicamentos antidiabéticos.",1,fonte2,automatica,0.65
lotar,dipirona,"Podem influenciar as concentrações plasmáticas e/ou aumentar o risco de efeitos adversos: conivaptana, , dalfopristina, quinupristina, , delavirdina, fosamprenavir, , rifapentina, saquinavir, , ephedra (Ma Huang), óleo de menta, , suco de Gravidade menor Podem aumentar o risco de gastrintestinal: anti-inflamatórios não hormonais (ex.: dexcetoprofeno, , diflunisal, dipirona, , cetorolaco, , meclofenamato, , nabumetona, , oxifembutazona, fenilbutazona, , sulindaco, Interações com losartana Gravidade maior Podem provocar maior risco de hipotensão, síncope, alterações de função renal e hipercalemia: inibidores da Enzima de conversão da Angiotensina I (IECAs), alisquireno (contraindicado uso em conjunto).",2,fonte2,automatica,0.9
lotar,losartana,"Podem influenciar as concentrações plasmáticas e/ou aumentar o risco de efeitos adversos: conivaptana, , dalfopristina, quinupristina, , delavirdina, fosamprenavir, , rifapentina, saquinavir, , ephedra (Ma Huang), óleo de menta, , suco de Gravidade menor Podem aumentar o risco de gastrintestinal: anti-inflamatórios não hormonais (ex.: dexcetoprofeno, , diflunisal, dipirona, , cetorolaco, , meclofenamato, , nabumetona, , oxifembutazona, fenilbutazona, , sulindaco, Interações com losartana Gravidade maior Podem provocar maior risco de hipotensão, síncope, alterações de função renal e hipercalemia: inibidores da Enzima de conversão da Angiotensina I (IECAs), alisquireno (contraindicado uso em conjunto).",2,fonte2,automatica,0.9
marevan,varfarina,"Interação medicamento-medicamento Deve-se ter cautela no uso de qualquer outro medicamento durante o tratamento com Marevan A varfarina interage com diversos grupos de medicamentos, diminuindo ou potencializando seus efeitos.",1,fonte2,automatica,0.65
